Customer#	Interarrival Time (minutes)	Service Time (minutes)
262	3.44	2.14
263	2.41	2.12
264	3.07	2.54
265	3.61	3.41
266	5.54	3.87
267	3.95	2.11
268	5.24	2.21
269	3.78	2.85
270	4.00	2.91
271	5.45	4.29
272	4.60	4.49
273	4.51	1.50
274	3.29	3.36
275	4.63	4.78
276	5.26	2.21
277	2.60	4.10
278	3.54	2.72
279	3.84	1.52
280	3.46	4.13
281	4.04	1.71
282	4.18	3.52
283	3.27	1.31
284	2.97	2.64
285	5.96	2.00
286	2.98	1.31
287	1.83	5.20
288	3.33	2.04
289	4.48	2.01
290	4.03	3.39
291	3.41	4.48
292	4.13	2.46
293	2.17	2.89
294	6.34	3.07
295	3.16	2.46
296	3.70	2.70
297	2.83	2.91
298	3.14	2.45
299	3.90	1.33
300	2.32	3.76
301	3.79	3.47
302	3.32	5.13
303	4.87	2.35
304	3.28	3.28
305	4.64	2.20
306	4.18	4.41
307	3.21	2.10
308	4.10	1.59
309	5.02	4.55
310	3.25	4.07
311	2.86	1.45
312	3.67	3.23
313	3.95	1.60
314	4.75	4.07
315	3.07	4.40
316	1.52	4.07
317	5.23	2.04
318	3.60	3.08
319	5.37	2.81
320	3.82	1.43
321	2.72	3.26
322	3.81	2.44
323	2.99	2.19
324	2.87	2.57
325	3.72	3.23
326	3.66	2.73
327	2.71	3.44
328	3.85	2.56
329	4.28	1.30
330	5.03	2.22
331	4.06	2.15
332	4.93	3.08
333	4.59	2.13
334	4.78	2.97
335	5.65	3.60
336	4.19	3.24
337	5.47	3.13
338	4.14	2.99
339	2.63	3.07
340	3.52	3.12
341	3.80	3.70
342	4.60	1.28
343	5.41	1.23
344	5.05	2.90
345	3.38	2.55
346	4.45	2.16
347	5.38	3.62
348	2.44	1.91
349	5.34	2.01
350	5.32	1.75
351	3.18	2.11
352	3.15	3.05
353	4.54	4.58
354	3.55	2.23
355	5.51	3.05
356	3.50	3.75
357	3.91	2.53
358	2.82	2.76
359	2.94	1.22
360	5.55	3.82
361	4.50	1.87
362	1.72	4.23
363	3.16	0.83
364	3.18	2.93
365	3.61	2.43
366	3.19	2.65
367	4.54	2.00
368	4.18	4.82
369	3.37	2.63
370	3.70	3.31
371	3.38	3.69
372	4.52	3.70
373	2.77	1.48
374	4.30	2.75
375	3.04	1.96
376	4.92	2.35
377	4.53	4.75
378	2.96	3.70
379	5.07	4.56
380	4.57	2.39
381	3.37	3.46
382	3.12	3.50
383	2.99	3.69
384	4.02	3.76
385	2.94	5.88
386	6.35	1.93
387	4.79	2.35
388	4.30	1.91
389	4.19	1.41
390	4.54	1.59
391	4.52	5.53
392	3.29	1.74
393	2.38	3.10
394	2.69	2.14
395	4.50	4.55
396	3.97	5.34
397	6.01	5.31
398	2.09	2.14
399	4.85	3.84
400	4.68	3.99
401	6.31	2.45
402	0.24	3.10
403	4.52	2.79
404	5.68	2.82
405	1.41	3.17
406	3.09	3.12
407	3.31	1.10
408	4.45	1.90
409	4.11	3.54
410	5.25	1.81
411	2.98	3.09
412	3.89	4.79
413	3.17	3.04
414	6.24	2.59
415	2.10	3.99
416	2.74	1.96
417	6.18	4.00
418	3.32	3.11
419	3.70	1.36
420	5.23	3.23
421	4.29	2.18
422	3.56	2.97
423	4.49	3.33
424	3.08	1.36
425	4.12	2.86
426	2.79	3.50
427	2.45	2.18
428	3.64	2.56
429	3.95	3.18
430	6.94	1.68
431	4.81	3.84
432	3.65	2.01
433	3.54	3.69
434	5.33	4.77
435	5.98	3.19
436	3.63	3.75
437	4.43	2.91
438	2.18	2.14
439	4.19	4.93
440	2.58	1.91
441	3.40	2.71
442	4.06	2.11
443	5.14	2.79
444	3.30	2.65
445	2.49	3.37
446	3.80	3.20
447	2.79	3.09
448	2.23	1.77
449	3.25	3.88
450	0.95	3.16
451	1.91	4.28
452	4.84	2.74
453	2.29	0.57
454	4.21	5.66
455	4.38	2.99
456	3.63	1.77
457	5.38	3.15
458	3.56	1.17
459	4.45	2.13
460	5.40	2.11
461	2.75	3.95
462	5.78	3.01
463	3.13	3.55
464	4.58	2.62
465	2.63	2.09
466	4.10	1.63
467	3.70	4.15
468	3.13	3.27
469	3.70	3.04
470	4.31	2.99
471	4.49	2.94
472	3.09	3.10
473	4.22	1.12
474	3.49	2.55
475	3.36	3.73
476	5.28	3.51
477	2.06	3.42
478	4.51	1.51
479	3.77	2.39
480	2.12	2.43
481	3.97	3.70
482	2.98	1.28
483	3.67	3.14
484	2.95	2.04
485	2.55	4.69
486	3.01	2.36
487	3.44	4.28
488	5.95	4.38
489	4.15	3.77
490	3.80	3.57
491	2.67	2.64
492	4.80	2.77
493	5.30	4.09
494	1.46	3.66
495	4.26	3.44
496	5.02	4.35
497	4.53	3.88
498	3.64	2.80
499	2.74	3.78
500	3.29	1.76
